TEAM_ABBREVIATION,PLAYER_NAME,START_POSITION,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
BOS/DAL,Theo Pinson,,18,14.0,46.0,0.3043,6.0,31.0,0.1935,10.0,12.0,0.8333,0.37,0.06,1.28,1.33,1.0,0.28,0.11,0.17,0.72,2.44,-70.0
SAC,Jahmi'us Ramsey,,22,28.0,70.0,0.4,7.0,26.0,0.2692,9.0,17.0,0.5294,0.45,0.23,0.45,0.68,0.32,0.09,0.05,0.27,0.55,3.27,-39.0
SAC,Louis King,,13,19.0,59.0,0.322,11.0,35.0,0.3143,11.0,14.0,0.7857,0.42,0.0,1.08,1.08,0.77,0.38,0.08,0.15,1.08,4.62,-46.0
SAC,Robert Woodard II,,13,2.0,16.0,0.125,1.0,4.0,0.25,2.0,2.0,1.0,0.16,0.38,0.54,0.92,0.23,0.08,0.08,0.15,0.23,0.54,14.0
CHA,Gordon Hayward,F,49,284.0,618.0,0.4595,86.0,220.0,0.3909,126.0,150.0,0.84,0.53,0.82,3.76,4.57,3.57,0.94,0.45,1.67,1.78,15.92,0.0
BOS/PHX,Justin Jackson,,7,5.0,15.0,0.3333,3.0,9.0,0.3333,2.0,2.0,1.0,0.43,0.14,0.86,1.0,0.29,0.0,0.0,0.14,0.43,2.14,-13.0
CHI,Alfonzo McKinnie,F,17,24.0,61.0,0.3934,9.0,27.0,0.3333,2.0,8.0,0.25,0.47,0.76,1.18,1.94,0.29,0.12,0.18,0.41,1.53,3.47,-55.0
GSW,Andre Iguodala,,30,43.0,114.0,0.3772,15.0,68.0,0.2206,13.0,16.0,0.8125,0.44,0.7,2.7,3.4,3.8,0.87,0.7,0.93,1.1,3.8,120.0
OKC,Mamadi Diakite,C,15,29.0,56.0,0.5179,1.0,7.0,0.1429,6.0,13.0,0.4615,0.53,1.2,3.0,4.2,0.13,0.33,0.73,0.6,2.53,4.33,-40.0
NYK,Nerlens Noel,C,25,32.0,60.0,0.5333,0.0,3.0,0.0,21.0,30.0,0.7,0.53,1.92,3.72,5.64,0.92,1.2,1.24,0.8,2.68,3.4,-68.0
TOR/POR/IND,Reggie Perry,,5,6.0,14.0,0.4286,1.0,3.0,0.3333,8.0,8.0,1.0,0.46,0.4,1.6,2.0,0.4,0.4,0.0,0.4,2.0,4.2,-17.0
OKC,Mike Muscala,C,46,124.0,272.0,0.4559,74.0,175.0,0.4229,53.0,63.0,0.8413,0.59,0.5,2.5,3.0,0.5,0.41,0.59,0.3,1.3,8.15,50.0
MIN/MIA,Chris Silva,,11,9.0,18.0,0.5,0.0,0.0,,12.0,14.0,0.8571,0.5,1.45,2.09,3.55,0.64,0.0,0.09,0.73,1.82,2.73,-22.0
LAC,Eric Bledsoe,G,58,202.0,484.0,0.4174,51.0,165.0,0.3091,95.0,124.0,0.7661,0.47,0.52,2.76,3.28,4.14,1.24,0.36,2.12,1.57,9.48,-63.0
PHI,Myles Powell,,11,5.0,17.0,0.2941,1.0,6.0,0.1667,2.0,2.0,1.0,0.32,0.09,0.45,0.55,0.27,0.09,0.0,0.27,0.73,1.18,-18.0
MIA,Udonis Haslem,C,10,11.0,26.0,0.4231,1.0,3.0,0.3333,4.0,5.0,0.8,0.44,0.4,1.8,2.2,0.6,0.1,0.3,0.4,1.2,2.7,0.0
SAC,Neemias Queta,,11,10.0,24.0,0.4167,0.0,0.0,,3.0,5.0,0.6,0.42,1.0,0.82,1.82,0.36,0.09,0.36,0.45,1.09,2.09,-6.0
LAC,Jay Scrubb,,22,31.0,70.0,0.4429,7.0,28.0,0.25,8.0,12.0,0.6667,0.49,0.09,0.82,0.91,0.45,0.36,0.23,0.55,0.77,3.5,-20.0
UTA,Joe Ingles,G,46,117.0,290.0,0.4034,80.0,230.0,0.3478,17.0,22.0,0.7727,0.54,0.26,2.63,2.89,3.52,0.5,0.11,1.02,1.78,7.2,191.0
WAS,Bradley Beal,G,44,362.0,811.0,0.4464,67.0,226.0,0.2965,181.0,216.0,0.838,0.49,0.86,3.7,4.57,6.36,0.93,0.41,3.18,2.36,22.09,-85.0
MEM,Santi Aldama,,32,49.0,130.0,0.3769,7.0,52.0,0.1346,15.0,23.0,0.6522,0.4,0.81,2.0,2.81,0.56,0.09,0.28,0.44,1.03,3.75,-29.0
DET,Cassius Stanley,G,9,19.0,46.0,0.413,4.0,17.0,0.2353,10.0,10.0,1.0,0.46,0.56,1.56,2.11,0.44,0.56,0.22,0.67,1.89,5.78,-15.0
OKC,Jeremiah Robinson-Earl,C,48,122.0,314.0,0.3885,52.0,165.0,0.3152,34.0,48.0,0.7083,0.47,1.54,3.96,5.5,1.04,0.62,0.31,0.79,1.73,6.88,-265.0
MIL,George Hill,G,44,107.0,249.0,0.4297,37.0,125.0,0.296,53.0,57.0,0.9298,0.5,0.84,2.36,3.2,2.39,0.8,0.14,0.91,1.34,6.91,281.0
SAC,Terence Davis,G,34,134.0,312.0,0.4295,61.0,180.0,0.3389,43.0,52.0,0.8269,0.53,0.38,2.82,3.21,1.38,0.91,0.32,1.09,2.24,10.94,81.0
